participant_id,task_num,word_count,time_spent,response,openai_score,qwen_score,xai_score
76,2,104,360,"During my recent visit to my friends place in town, I tried a new pizzeria, which was crispy crust and had vibrant toppings. It was on a Saturday evening when we were watching football at a local meeting point. We we there so we orders 3 pizzas and drinks to keep us energized for the next two hours. My friends had no prior experience nor taste with this new type of pizza. I had heard of it from my workmate who had tried it late last week after going home late from work. The Margherita pizza was a Pepperoni Inferno, meaning sweet. Try it!",15,15,15
76,3,119,356,I have always been a support of renewable energy since it helps us live sustainably and conserve our environment. My dream business is setting up a solar-powered smart household appliances store in our community. The store will use renewable energy and sell products that operate and consume renewable energy as well. An example of a product I would like to sell is solar panels like the ones I will be using at my store. I will serve as an example and a leader by using solar panels and selling them to people after confirming their value by leading as an example. We have to conserve our environment as we conduct business for a better tomorrow and generations to come!,20,15,20
76,5,124,343,"I have been a team leader and a supervisor for the last 2 years. During a major project with my team last year, one of the team member was cornered by a tight deadline which caused have affected the results of every other member of the team. Since I was in charge of the project, I had to seek help from other team members to assist regarding the tight deadline. I used strategies such as rescheduling tasks and their timelines to stabilize our team's progress. Finally we helped the struggling member of our team and we managed to comfortably beat the deadlines for the whole project. We received our congratulations and we are aiming for higher next year, as well as expanding our team.",15,15,15
77,1,53,359,"I was in a meeting at work and at the end of the meeting, one of my coworkers introduced a quick game to the rest of the team.She said the name of the game was called Mad Lib. So basically because we had such a large group of people, we had to in",20,15,15
77,2,119,160,"The last movie I watched that I was excited to see was called Final Destination Bloodlines.So It is a pretty well known line of movies and I felt like this might really be the final one so I was anxious to see it. I will definitely say that it was one of the better ones. In my opinion, the first one was the best before I watched Bloodlines. While, I do think there was definitely room for improvement, I would say it was an overall successful movie to end the series. I also liked the emotional touch added with one of the recurring characters. It tied in with something that was going on with that character in real life.",18,15,15
77,3,100,152,"My dream business would be an interior design type of business. Basically I would create pieces that can be purchased to decorate the home. I would want to create artwork for walls, decals, throw pillows, lamps, and floral arrangements. The biggest thing that has stopped me from doing that is the massive amount of money it would take to bring my ideas to life. I have the design ideas but you also have to have a place that can create those designs,keep it under budget so it is affordable, and finding the space for a store that is not expensive.",18,15,15
77,5,104,298,"A significant challenge that I faced was finishing college as an adult. I went about things in a very non-conventional way after high school. It made it a lot more difficult when I decided I not only needed to but wanted to finish college. I found that determination was not the only thing that got me through. I had to use skills like time management, creating a routine and sticking to it, and making very short term goals to make my long term goal seem more accessible. I feel that the skills I used could also be used to be successful in the job.",20,15,15
81,1,127,223,"I never expected a quick coffee run to turn into such a memorable experience. Walking into this cosy little cafe, the smell of fresh pastries instantly made me feel at home. As I waited for my drink, I struck up a conversation with the barista, who shared some of the most amazing travel stories I've ever heard, places I'd only dreamed of visiting. It was one of those small moments that remind you how much connection can happen in the most unexpected places. Sometimes, the best adventures start when you least expect them. Definitely grateful for that little detour today! Moments like these remind me to stay open to new experiences, because you never know when a simple coffee run might turn into a story worth telling.",24,25,30
81,2,149,176,"I recently tried The Green Spoon, a cosy little spot that's been getting a lot of buzz for it's fresh, farm to table menu. From the moment I walked in, I loved the warm, inviting vibe, perfect for a casual dinner or catching up with friends. I ordered their signature roasted vegetable bowl, and wow, the flavours were incredible. The veggies were perfectly cooked, and the tahini dressing added just the right amount of creaminess without overpowering anything. The portion was generous, too, which I appreciated. On the downside, the wait time was a bit longer than I expected, and the dessert menu was limited. But honestly, the quality of the food made up for it. If you're into fresh, wholesome meals with a creative twist, The Green Spoon is definitely worth a visit. Just come prepared to savour every bite, and maybe bring a book while you wait.",24,15,25
81,3,106,176,"Hi, I'm launching 'Global Roots', a plant based meal prep service inspired by international cuisines. I've always loved cooking and exploring global flavours, and with my background in marketing, I know how to reach niche audiences who crave both health and variety. Each week, we'll offer rotating menus, think Moroccan tagines, Thai curries, and Caribbean stews, made entirely from plant based, whole ingredients. It's not just about food, it's about culture, sustainability, and convenience. With a $10,000 investment, I'll scale up production, streamline packaging, and launch a targeted digital campaign. There's a growing demand for healthy, global, and ethical food, and I'm ready to meet it.",28,25,35
81,5,98,222,"When I moved to a new city for my first job, I didn't know anyone and felt completely out of place. The pace was fast, and I doubted myself a lot in the beginning. Instead of staying stuck, I pushed myself to connect with co-workers, asked for feedback, and found a mentor who really helped me adjust. I started volunteering for projects and slowly built confidence. Within six months, I led a team project and felt like I truly belonged. That experience taught me how to stay open, even when things feel uncomfortable, it's usually where growth starts.",20,15,25
82,1,97,349,"Out of nowhere we went to a party and to an unexpected casino visit, It was a casual party at a friend's birthday until one of the guys we met had the urge to go. A lot of the guys also had the urge to go so we all in unison agreed and went to the casino despite the drive to the casino being an hour and a half. We all had fun as we rooted for each other to hit it big. It truly was an exhilarating experience and would like to experience more unexpected adventures.",24,25,25
82,2,154,357,"Recently I got the opportunity to watch the latest Superman movie directed by James Gunn. Before the movie's release there was a lot of controversy in replacing Henry Cavil as superman, but the reason was because the DC universe was going through a reboot. Eitherways this movie had a lot of skepticism and I was as well until I watched it. The movie itself is great. The actor who plays Superman does a great job in portraying the character that I can not blame James Gunn for choosing this actor. They fit the role perfectly. Lex Luther was  a big threat in this movie and he was childishly menacing. His power and authority over people really made him menacing. Green Lantern was a surprise as his character was great as well, he is a loveable funny hero. The plot in itself is generic but its executed greatly. I would give this rating a 10/10.",20,25,15
82,3,143,356,"I have a dream of creating one of the best arcade's in the city. Arcades were relatively popular back in the 90s and early 2000s, but with time they faded out. However teenagers and young adults love these arcades and never hated them. However if we were to create an arcade that focused not only an old aesthetic as old arcades but also contained newer games and featured the ability to console titles within the arcade. This would make for an easy way to demo a game while also having the experience to do practically anything. The arcade should also contain a little store where you can buy food and drinks at a small venue so the people don't leave and have to come back for more. The arcade will only have an entrance fee while keeping all the content free to play.",24,25,28
82,5,178,358,"Unironically enough one of the most challenging aspects I had to face is when I had to do a presentation for an EXPO. The presentation consisted of a fictional company but the audience was real and I had to present for a solid 20 minutes. Because I'm an introverted person and I was no social this was a heavy task. At the time I've never done such a big presentation yet do one for 20 mins. I had to maintain a lot of composure and keep track of the things i talked about. What I ended up doing was making a powerpoint where it hardly contained any words, that way the audience had to focus on me where they would get most of their information. This was for the best for me as I saw this a great opportunity for growth. Overall I practiced with a couple of people until the day of the EXPO. The presentation was a great success as I managed to get third place out of more than 50 expos that were being done.",24,25,20
83,1,101,342,"Who knew that purchasing something from the past could lead to luck in the present and future. I purchased an old postcard from an online auction, my cursor landed specifically on it. Normally, they all sell within the second, so this was fate. Once it arrived in the mail my luck changed that week. I went from the mundane to the exceptional. It was a powerful talisman of good luck. I saw sharper performance at work, even more meaningful interactions with friends, and enhanced stamina during my workouts. There wasn't anything I couldn't accomplish, thanks to that treasure from the past.",36,32,38
83,2,100,345,"A morning to remember, from the mountains of Sweden to my breakfast plate in Canada, Lingonberry jam provided me a wonderful surprise. I first had this on my toast this week after discovering it in the international section of my local grocery store. Rich in antioxidants and rich in flavour, without being rich in price, this jam provides taste and health benefits in every spoonful. The taste is very similar to cranberries, though it is less tart. It spreads easily and is packed with vitamin C. A very unique way to start the day, sweet and savory, full of utility.",28,25,35
83,3,68,271,"Imagine owning a slice of history, an asset that not only appreciates in value, but also tells a story. Show your personality and enjoy growth in a booming untapped market. Explore the extraordinary, this is your chance. Led by a team of seasoned experts in various collectibles and antique categories, inveest with confidence. Diversify your standard porfolio with something tangible and timeless. This is where passion meets investment.",20,25,25
83,5,119,300,"When tasked with finding research for a work project to support a prison program we were drafting. I encountered a significant challenge. The article that provided the best data to support the proposed program was only available in Norweigan. Despite, not knowing the language, I leveraged AI tools to overcome this barrier. First, I used the AI to translate a draft email in Norwegian to the researchers. This approach proved successful and they provided me with a full copy of the original article. The problem however is that it was still in Norwegian. From there I employed the AI tool to translate the entire document into English, ensuring that our draft program had the proper evidence to support it.",30,25,35
85,1,100,296,"I celebrated my 50th birthday a couple of months ago! It was such a milestone for me :) 
Family and closest friends were there and it was the best experience ever. I've never felt so loved. We laughed, reminisced, and created new memories that I'll cherish forever, and it was truly a night to remember. We went to our favorite steakhouse and bar. There was laughter, music, and dancing, and everybody had fun in this joyous occasion. The heartfelt toasts and the wonderful surprise cake at the end made the night truly unforgettable. Here's to another 50 years of love!",20,25,20
85,2,101,196,"My husband and I took our young kids to see the live action remake of How To Train Your Dragon. We already loved the animated movies that came before, and we were so excited with this live action remake. I bought tickets for everyone a few weeks in advance because we always like to pick the best time in the schedule. Guess what? The movie was spectacular! It never disappointed! The cast, the visual effects, how they stayed true to the original animated film -- everything was perfect. The kids loved it so much and we can't wait for the sequel!",18,12,15
85,5,135,293,"A significant challenge I've faced was when I gave up my job to start a family. I have worked so hard for many years and I took care of my family. This has always how I defined my life -- being able to be independent and career-oriented and chase after my dreams. Everything changed when I got pregnant with my first child. The idea of raising a young child while still fulfilling major work responsibilities seemed easy enough, in theory, but I thought really hard about it, and I decided that I would want to devote all my time and effort to raising my child first before I go back to the work force. This has enabled me to clearly focus on priorities and identifying which aspects of my life are more important than others.",20,25,20
86,1,94,359,"With little training and not feeling ready, i did the midnight marathon and still beat last years's time. That shows sheer determination can push you through and the body is capable of more than you know! The cool night air was the push i need to drag me through as the heat of the day had been too much and would have been too intense! Every step closer to the end was satisfying and knowing I had to done it to make a change, made crossing the line a sweet momment.  #mensmentalhealth #personalbest #marathon",26,28,35
86,2,93,360,"Stepping into the bustling embrace of our local indian restaurant felt like entering a warm, aromatic haven it was perfect for a family birthday celebration! It was a little wait to get seated as it was so busy!(A good sign), out anticipation was palpable! For starters we ordered a mixed grill and washed it down with a beer, the hot plate was sizzling with succulent lamb chops, chicken Tikka and crispy fish pakoras. We then had a the main course with a hot butter chicken and naan bread, this was second to none",20,15,15
86,3,60,360,"Introducing RunMind: Where every step empowers your mind. 

Join a community where running isn't just about pace or distance, it's about presence. We want to transform your run into a journey of mental wellness, blending guided mindfulness runs with expert mental health support. 

So lace up, log in and let every mile be a step towards a healthier, happier you!",32,32,38
86,5,144,360,"One of the most significant challenges I have faced was training for a full marathon which started at midnight. I took on to fundraise for men's mental health awareness. It sounded like a great idea at first to do something so meaningful and get fit at the same time. Once the training started I had to balance early or late runs with a full day of work and family duties. This was a display of my own mental health challenges. How I overcame this was to build a structure, breaking the training into manageable goals, tracking progress and leaning on a batch of others doing the same thing as me. Once i crossed the finish line it was one of the proudest moments of my life, not just a physical achievement, but also reminded me what's possible with discipline, teamwork and a clear ""why""",34,28,35
87,1,45,90,"Went to Stray Kids concert in London , and wow, what a night! They sang and danced their hearts out for three epic hours in the stadium - pure energy and talent. Still buzzing from the incredible vibes and can't wait for theit next show!",20,25,20
87,3,58,214,"Introducing 'AI HeartMatch', a revolutionary dating app that uses advanced AI algorithms to analyze personality traits, interests, and communication styles, ensuring users are matched with partners who truly share their values and qualities. With your $10000 investment, we will enhance our AI technology to deliver highly compatible matches, fostering meaningful and lasting connections in the digital dating world.",20,15,35
87,5,80,226,"Facing a tight deadline, our supplier informed us they could not deliver the uniforms for our event on time. With limited time, I quickly devised a solution. I purchased 46 identical T-shirts from Primark that matched our brand colors and paired them with branded lanyards we already had. This quick pivot ensured our team manintained a cohesive look for the event. The attendees did not notice the change, and it highlighted my ability to adapt and make swift, effective decisions.",20,25,25
88,1,103,304,"Just spent the most magical morning in a flower picking meadow with my teenage daughters! watching them weave through the vibrant and fragrant blooms, laughter echoing under the sun was pure bliss. Their eyes lit up brighter than the wildflowers, and our vases overflowed with both petals and precious moments. Can't wait to turn these blooms into memories that will last a lifetime! Sometimes the simplest moments make the best memories. Here is to more spontaneous adventures and the joy of watching my girls blossom into beautiful young women who shine brightly like these flowers. #flowerpower #Familytime #Bloomingmemories #petalpatch #poppies #flowers #Flowerpress #daughters",28,25,35
88,2,104,310,"Our family celebration at Meze in Hull was a delightful experience, with a feast of flavours that didn't break the bank. the service was top notch, making us feel like VIPs and the delicious dishes made every moment a joy to savour! The Mousaka was a standout dish, with it's rich layers and authentic flavour it transported us to the heart of Turkey. The dips were equally impressive, bursting with fresh ingredients and vibrant flavours that perfectly complemented our meal. If you're in Hull and craving a slice of Turkish delight, Meze is the place to turn your ordinary night into a culinary celebration.",20,15,35
88,3,68,359,"Invest in NatureQuest Academy, where young adventurers embark on exciting journeys to explore the wonders of the world around them. Rooted in the UK's Early Years Framework we transform forests, beaches and parks into interactive learning playgrounds that ignite curiosity and essential skill like teamwork, problem solving nd creativity. Your $10,000 investment will mepower us to inspire more children allowing them to say, ""We learned with the tree",32,35,38
88,5,103,264,"In a recent encounter with a particularly frustrated customer, I listened attentively to understand their concerns and make sure they felt heard and validated, this demonstrated empathy and patience. I acknowledged the issue and assured them of a solution, balancing their needs with our company's policies. By offering a suitable alternative and a small goodwill gesture I turned their experience around. this approach not only resolved their concern but also reinforced our commitment to customer satisfaction, ultimately strengthening their trust in our brand. My ability to maintain a calm demeanor is certainly a strength that I can take forward into this new role.",15,15,15
89,1,119,360,"Imagine stepping off a plane into a country where the sun is always sunning shades of gold and beaming shades of blue ocean. The Canary Islands are a magical secret that i got to discover recently on my first vacation in a long time to the sunny destination of Gran Canaria. I stepped off the rrelatively short flight into a gust of warm air, a big contrast to my home land of England. A smile instantly came to my face thinking of the next couple of weeks I was going to have with my family. I had brought my mum and my little sister here. We settled into our seaside hotel and mapped out where we wanted to explore",30,28,25
89,2,108,293,"Suzanne Collins has done it again. Sunrise on the reaping is a forthcoming tale introducing twists and turns to a story you thought you already knew. Sunrise on the Reaping (SOTR) is based on the story of the 50th hunger games where, Haymitch Abernathy, a character introduced us in the previous series is 16 years old and is accidentally reaped into the Hunger Games as a tribute. this book adds so much depth to haymitchs character. We follow Haymitch, through the train ride into the capitol into the arena. A book filled with constant suspense, it is a page turner, that you would not want to put down.",20,15,15
89,3,131,360,"Im here in front of you today to pitch to you my marketplace that champions sustainablity and priorities the enivronment. I propose a subscription service where you can trade clothing you no longer want to own, instead of throwing them away, you can exchange them for items of a similar price. It will take place on an app that you sign up to for a small fee. you will then be able to upload your own pieces and make offers to other users if you see things you are interested in yourself. It is deisgned with a seamless use in made, with instant notifications for trade offers. we also plan on hosting community events online and in person, where we can promote sustainability and making ecological changes to help the environment.",28,25,28
89,5,135,330,"In a previous job, I worked in a supermarket and we were constantly dealt with tight deadlines and mountains of requirements. On one instance, we were delivered double the expected stock and because of sickness, half our usual staff roster available. There was so much pressure from our managers to stock everything on time or we would have to stay late. we all had to stay calm for what was happening as there was no room for worrying. we called some of the morning staff in for overtime (i was on the late shift) and divided the store up based on the stock. I organised the team into specific sections putting people in areas based on their skills and expertise. We were able to restock within the time limit and our management were very pleased.",20,15,15
90,1,152,343,"Life has really been tough for me these past few months, I lost my dad to cancer after caring for him for some time. I learnt the hard way who my true friends were and it has made me examine the important things in life. I have realised that the small things in life seem like huge problems when life is going well but when your life is upside down you realise they do not matter much in the grand scheme of things. I have discovered that I am tougher than I ever realised and that if I put my mind to it I can get through even the hardest situations. In the face of losing dad and navigating lifes challenges I have learnt the true value of real friendship and what truly matters, even the hardest times you can find a silver lining of positivity and hope.

hashtags- Lifeisshort familyisimportant bekindtooneanother",24,15,30
90,2,134,309,"I want to highly recommend the movie ""Trap"", it is a horror movie, a thriller that keeps you on the edge of your seat in suspense from start to finish. It has the usual twists and turns to where it will keep you guessing right to the end. It is unique in that it is set within a concert and a murderer is trapped within surrounded by police, they do not know who is he but he cannot get out without being caught. It is not gory, it is more thrilling and psychological so if you like that sort of movie this is the one for you. Be prepared to be entertained and thrilled in a way you have never been before!. Perfect for those that love a mind-bending mystery and a gripping plot!",18,15,25
90,3,165,360,"I want to set up a business where people can give their own videogame designs and I can create figures and other limited edition merchandise. It could be specifically retro games from their childhood that they want a reminder of, so could be long forgotten games that no longer are within copywrite. You could also collaborate with indie game developers to create limited edition merchandise to promote their titles where it can be offered alongside their games as a form of promotion. We could use 3D printers which would enable us to create this items cheaply but to specification and so for 10,000 dollars we could set this up with limited need of workers. The nostalgia is very powerful and the ability to refine items and personalise them would allow them to relive their childhood in a unique way. their would be huge value for indie developers to promote their games and it would be a valuable resource for them. So huge money making po",34,28,35
90,5,187,359,In my recent role where I led a project to recover lost revenue due to competitor gains by. We were tasks with coming up with novel ideas to boost sales of cars. I had an idea about having an open day where we let people drive all of our range of cars and provide feedback on what they like and disliked. For doing this they could get 25 percent off the price of a car. I got together a team of people and we each worked on an aspect of it to a tight deadline of 2 weeks. Through working on the project night and day and picking the best people for the job I was able to meet the deadline and organise an open day where everyone from the company was present. it enabled us to make improvements to the designs of the cars which in turn improved our sales and on top of that the publicity from the event boosted our visability and we also made sales on the day to people who attended the event. It was a huge success dielvered in tight timescales,28,25,28
91,1,109,360,"A few months ago, I took my son camping for a weekend. The forest we went to was a place regularly used by other campers, so it was safe. On the first night of our camping trip, we made homemade soup and talked about our dreams and goals for the future. I have always taught my son that he should have big dreams, As we lay down and looked at the stars above the vast expanse of the universe, I felt connected to my son and happy that he was born, happy to be his father, and very proud to be able to share this intimate moment with him.",20,25,25
91,2,104,344,"I recently discovered a mysterious restaurant whose sparse clientele only added to its enigmatic charm. Once inside, the serene atmosphere suggested a simple refuge offering a hot meal, but it revealed gastronomic delights that far exceeded my expectations. From the moment the heavenly soup delighted my palate, the cozy walls seemed to embrace me, and the waiter's warm smile was mirrored in my own. It was a truly enchanting experience that delighted both my heart and mind. Speechless, I have since returned several times to sample different dishes, to see the smiling girl and to find peace in such a strange and ever-changing world.",34,25,42
91,3,128,292,"Today, I would like to present an idea that you might find innovative and unusual: targeting computer users who need a laptop, but not necessarily a high-tech, expensive one. That's where we come in. Not only are we going to restore old laptops, we're also going to give them a new lease of life by replacing their base casing. We will upgrade the components to the maximum and ensure that each customer enjoys a lightweight, fast and personalized experience with every computer. Rather than using cutting-edge technologies, we will make use of existing technologies that can be upgraded to create an experience in which users feel comfortable and satisfied. This will attract a large number of customers who will continue to use our services for a long time.",24,25,28
91,5,121,222,"One of the most important challenges was overcoming my own insecurities and weaknesses. It was horrible to see myself as incapable of achieving my goals. I had persistent negative thoughts about myself, but deep down I knew that I wanted more. I needed to overcome adversity and change my routines and habits. I needed to learn new skills and feel proud of who I am, because changing my mindset and achieving my goals is the most important thing in my life. This is not something you can achieve by buying an object or simply going to a psychologist; it is something you must build from your own soul. I had to create a limitless ambition within myself to improve every day.",24,15,20
92,1,101,225,"Just returned from the mesmerizing Plant Con in Houston, and wow, what an incredible journey through a world of green wonders! Imagine strolling through aisles teeming with the rarest and most exotic plants, each one a living piece of art. There were Alocasia plants with price tags soaring over $10,000, making them the rockstars of the plant world. Even though owning one might forever remain a dream, just being in their presence felt like a privilege. Vendors showcased botanical treasures. This has truly been one of the highlights of my summer. I wish that I had more time to spend there.",28,35,35
92,2,103,266,"Walking into Gino's felt like stepping onto a culinary tightrope—new place, few reviews, and my skepticism in tow. But as soon as the Caprese salad landed on my table, I knew I was in for something special. The tomatoes were as vibrant as a sunset, and the mozzarella was cloud-soft. Next came the penne à la vodka, a dish so comforting it felt like a pasta-shaped hug. Each bite was a delightful surprise. If you are in the Wichita Kansas area I strongly suggest that you stop by and check this place out. You will not be disappointed at the quality and service.",36,25,35
92,3,117,289,"Imagine stepping into a lush oasis, where the air is filled with the vibrant energy of rare and exotic plants from Asia and South America. Welcome to Brians Botanicals, a one-of-a-kind destination for plant enthusiasts and interior design aficionados alike. With years of experience in importing high-quality, unique species, we offer a selection that transforms any space into a tropical paradise. As the demand for distinctive home decor blooms, our store is perfectly positioned to become the go-to source for exotic greenery. By investing the small amount of $10,000 you can also be a part of this business. I seen in my business plan we are expected to generate over $250,000 within the first year of business.",28,25,28
92,5,48,271,"One of my most significant challenges was becoming a plant importer, where I tackled issues like plants arriving in poor condition and the complex process of obtaining import permits. I developed strategies to improve plant packaging and streamlined the permit application process, demonstrating my problem-solving skills and perseverance.",20,25,15
94,1,28,88,Just had an incredible experience interviewing with the state DFCS and guess what? I got the job offer! Ready to make a difference and help shape brighter futures.,20,25,20
95,1,120,287,"After a long week, a sunny afternoon at the park with my baby niece felt like a breath of fresh air. As we wandered through the vibrant autumn leaves, her eyes sparkled with wonder, each crunch beneath her tiny shoes a new discovery. We settled by the swings, where her giggles filled the air like the sweetest melody. I gave her a gentle push, and with every swing, her laughter soared higher, reaching the very tops of the trees. Nearby, a group of ducks waddled and a little duckling lagged behind. I felt bad for the duckling but the other ducklings waited for it and it made me feel happy. It made me feel optimistic about the times to come.",30,25,35
95,2,107,283,"I recently went to a restaurant that is well known in the NYC area. I hated it. My friends and I sort of look young but we were spoken down to by the staff and received horrible service. The waiter was trying to be overly friendly and felt sarcastic. He got our steaks wrong and gave it to us well done. The steak well done tasted horrible and the sides were not great. They rushed us out of the restaurant because it was close to closing time and it was just a bad time. I also hated that they only accepted cash, that was odd to me.",15,15,15
95,3,103,318,"Imagine revolutionizing the way athletes train with our AI-powered sports training app, designed to deliver personalized workout plans right at your fingertips. With a market hungry for digital fitness solutions and a growing emphasis on health, our app stands out by offering tailored coaching and real-time progress tracking. Our coaching stands out because of its high quality. The real-time progress tracking is also helpful because it provides the user with information immediately. By investing $10,000, you'll be at the forefront of transforming sports training, tapping into a scalable market with immense growth potential. Join us in making elite-level coaching accessible to everyone, everywhere.",20,15,25
95,5,160,326,"The biggest challenge that I faced in my life was when I turned 21 years old. When I was 21, my father became very ill and became bedridden. He was an elderly man and had a ton of health issues before and went into a diabetic coma. He woke up and recovered but he was never the same again. He was bedridden and could never really talk fully again. I moved back in with my mom to help her take care of him. For 2 and a half years, he lived with us until his condition grew worse and he had to undergo nursing home care for the final 1 and a half years. I continued going to school but in a part time basis. It was difficult being there for my family and going to school. It was heartbreaking seeing my dad, who was my best friend, suffer and struggle. I believe that this experience has made me stronger.",15,15,20
96,1,108,320,"Hello everybody, I am here to day to talk to my community about some issues I had in the past few months. Recently I've started to have many health concerns which is why I have been MIA more than usual. One such thing is that I had a kidney fail. It's been a rough past few months but I am hoping and praying that it would all get better soon. I'm making this statement because I felt like I owed my community for me disappearing without saying much. I hope you all will just be a little more patient with me until I eventually make a full recovery.",20,15,20
96,2,105,303,A movie that I had recently seen was the new Superman movie. I had been seeing trailers about this movie for awhile and eventually decided it was time for me to watch it. First let me just say this movie surpassed any expectations I had about it. I was in awe over how much the superman franchise has evolved over the years and I hope they continue to grow even more. The actions scenes in this movie had me on the edge of my seat often which rarely happens to me. I very much recommend everyone to go see and enjoy this movie for themselves.,15,15,15
96,5,78,360,I once led my team to complete a project that was given to us with a tight deadline. Together as a team we had open communication which led us to create a plan on how we would complete this task. Our plan allowed us to help prioritize which task was the hardest and work complete those tasks first. Our team was able to complete the task well ahead of the deadline because of out ability to communicate effic,15,12,15
97,1,109,348,So I just bought a Shiba inu a few months ago and boy let me tell you I was so excited to teach him the basics with training him to go on the puppy pads. I had to clean up a mess off of the kitchen floor a few times however I finally got him trained to go outside! I was enthusiastic about my new dog who's name is Blinky by the way because my other dog and cat needed a new brother. I feel like celebrating this training because now Blinky lets me know when he needs to go outside and it is a huge accomplishment! #puppylove #goblinky!,20,25,20
97,2,108,286,"McDonalds has brought back their snack wraps and so I really wanted to try one. Well first of all they only offer two flavors which are spicy and ranch. I am not particularly fond of either flavor but really wanted to try one so I went with spicy. At first glance I noticed the size which is really small, next I noticed the one piece of chicken tender which looked just average, lastly the taste burned my mouth. I was not impressed with the wraps I honestly think they should come in a grilled chicken option and have more flavor options as well. 4/10 I would not recommend.",18,15,12
97,3,116,249,I have always been passionate about helping the homeless population so my idea for a business would be to buy an old hotel or school building and turn it into a private shelter and allow families and individuals to stay for up to two years. During their stay I would have them employed in the shelter because I want to put a resteraunt and daycare in the shelter for their use and for public use however the only employees would be the residents of the shelter. Once they are stable and have saved enough in a savings account then I would help them secure housing and move other families in to help them do the same.,28,25,38
97,5,104,335,"When I started at a bakery twenty years ago with no experience I embraced hands on learning and persistence , which transformed me into a skilled chef capable of creating delicious pastries and cakes. I had a lot of customers asking for me to make their cakes and decorate them because I had became incredibly skilled at decorating the cakes. I made cakes for all of my family members birthdays as well. I didn't know that I had it in me to bake and design the cakes the way that I did. I definitely overcame the challenge of baking and became good at it.",18,15,15
98,2,52,106,"I recently went to a new Mexican restaurant I wanted to try out. It was an all you can eat buffet. The experience there was wonderful and they had all authentic foods there. Also there was an El Mariachi band that was pretty cool, they would come to your table and sing.",15,15,15
99,1,118,305,"Now that we are getting older, many people have forgotten that so are their parents. Navigating the journey of caring for aging parents has been extremely challenging. As their roles slowly reversed, I've found myself juggling appointments, medications, and the emotional weight of seeing them become more dependent and revert into teenagers. It's a constant balancing act, filled with moments of frustration, where patience is tested, and moments of deep anger and sadness. The small victories like getting them to comply to a simple task are barely memorable compared to the major losses dealing with their immaturity and difficult attitudes. Parents should have plans before they ever have children and should have open communication of expected elderly care.",24,25,30
99,2,101,190,"If you're craving a burger that feels gourmet without the gourmet price tag, try out ""Burger Bliss."" The unexpected symphony of flavors in their Truffle Delight Burger, with its rich truffle aioli and perfectly seared patty, made me question if I'd accidentally wandered into a high-end restaurant. Pair it with their rosemary fries, and you've got a fast food experience that tastes like a culinary escape. Combine it with their friendly service and cool atmosphere, it is definitely worth visiting to get a taste of their delicious menu offerings. Check out Burger Bliss the next time you're craving a satisfying burger!",24,25,35
99,3,104,332,"Imagine a world where there is less food scarcity and the ability to use underutilized urban spaces into sustainable food sources. Welcome ""Biosphere,"" an innovative platform that uses AI to optimize urban agriculture through vertical farming solutions. Using AI to integrate real-time data analytics and machine learning, BioSphere maximizes crop yields, reduces resource competition, and empowers communities to achieve food security. With your $10,000 investment, we will develop a scalable prototype and initiate pilot programs in key urban areas, paving the way for a revolution in sustainable urban living. We plan to help feed children and never let people go hungry with this project.",32,32,42
99,5,104,225,"I once dealt with a customer who was unhappy with our product which lead to frequent complaints. By taking the time to actively listen to their concerns and maintain open lines of communication, I was able to identify the root issue and collaborate on a tailored solution. This ultimately restored their trust and satisfaction. Sometimes if written communication is not working, you can try verbal such as a quick call to further clarify the issue. It's also good to remember that you are both working together against the issue and not each other which can help resolve the problem and increase potential troubleshooting skills.",18,15,15
100,1,82,360,"A memorable experience that has happened to me in the last few months would probably be when I went to watch ""Wicked"" in theaters with my sister on its opening night. I planned my outfit to match the main characters of the movie, pink and green. The movie was really good. I was interested in what was happening the entire movie, which is not often with movies that have been released in recent years. The songs from the musical were also great.",20,25,20
100,2,109,307,"I recently tried food from an authentic mexican restaurant. I ordered a chicken burrito with a side of french fries. While the burrito was not the worst I have had, it also was not the best. The chicken was cooked perfectly, but it could have used A LOT more seasoning. The rice was also a little bland. The vegetables put inside of the burrito were not cut small enough to actually enjoy them. Biting into a tomato wedge and chunks of lettuce does not really enhance the experience of eating a burrito. It could have also used more sour cream. The french fries were good, a little overcooked though.",15,15,15
100,3,58,360,"I dont really have a dream business, but if i had to make one up i would say that i would probably want to do something with fashion. I would want to hand make my own clothing and outfits with natural materials but also make them reasonably priced because everyone deserves the right to access to quality clothing.",18,25,15
100,5,100,360,"A significant challenge I have faced was a time when a conflict happened at my workplace. I wanted a promotion but was not considered for the job and denied. Later that day, a customer accused my boss of stealing an expensive personal item from them and threatened to contact the police. To help prove myself for the promotion, I volunteered to find the item for them because I knew my boss had not stolen it.I wanted to help. It took a few hours of searching the entire restaurant for the customer to finally search their car and find it there.",24,25,15
101,1,104,327,"A few months ago, I helped a student turn their late night panic into a proud moment. They were stuck on a history essay, overwhelmed and ready to give up. we dove into the topic together unraveling revolutions, connecting ideas, and crafting arguments. By sunrise, they had a solid draft and spark of confidence. Later they massaged me saying ""I got an a!"" That moment reminded me why i exist, not just to live but to empower others when they need it the most. I was deeply pleased with the fact that i had a great impact on the outcome of the students acheivement.",28,25,30
